#============================================================================
#   FILE NAME:  Rockvalues.csv
#----------------------------------------------------------------------------
# PURPOSE:
#   Rock and Mineral values to be loaded into an hdf5 database
#
#----------------------------------------------------------------------------
# HISTORY:
#
#   Date     Author               Notes
# --------  ----------------  -----------------------------------------------
# 05Mar15   A. K. Jackson     Initial Implementation.
# 06Mar15   A. K. Jackson     Add anisotropy parameters
# 09Mar15   A. K. Jackson     Add index, change 'N' to 'NaN'
#============================================================================

#   To do

#   data stored as mineral, Rho, Rhoerr, Vp/K, Vperr/Kerr, Vs/Mu, Vserr/Muerr,
#   epsilon, sigma-epsilon, delta, sigma-delta, gamma, sigma-gamma, priority, 
#   source, units
#   Units = M=metric with M/sec, K=Metric with KM/sec, I=Imperial

#       N = np.nan

0001, forsterite,     3.32, NaN, 8.54, NaN, 5.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0002, olivine,        3.32, NaN, 8.45, NaN, 4.91, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0003, almandine,      4.18, NaN, 8.51, NaN, 4.77, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0004, zircon,         4.56, NaN, 3.18, NaN, 2.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0005, epidote,        3.40, NaN, 7.43, NaN, 4.24, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0006, dravite,        3.05, NaN, 8.24, NaN, 5.08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0007, diopside,       3.31, NaN, 7.70, NaN, 4.39, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0008, augite,         3.26, NaN, 7.22, NaN, 4.18, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0009, muscovite,      2.79, NaN, 6.46, NaN, 3.84, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0010, phlogopite,     2.80, NaN, 6.33, NaN, 3.79, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0011, biotite,        3.05, NaN, 6.17, NaN, 3.73, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0012, kaolinite,      1.58, NaN, 1.44, NaN, 0.93, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0013, HanClay,        2.55, NaN, 3.81, NaN, 1.88, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0014, TosayaClay,     2.6 , NaN, 3.41, NaN, 1.64, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0015, illite,          NaN, NaN, 4.32, NaN, 2.54, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0016, perthite,       2.54, NaN, 5.55, NaN, 3.05, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0017, albite,         2.63, NaN, 6.46, NaN, 3.12, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0018, feldspar,       2.62, NaN, 4.68, NaN, 2.39, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0019, quartz,         2.65, NaN, 6.05, NaN, 4.09, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0020, corundum,       3.99, NaN,10.84, NaN, 6.37, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0021, hematite,       5.24, NaN, 6.58, NaN, 3.51, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0022, rutile,         4.26, NaN, 9.21, NaN, 5.04, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0023, spinel,         3.63, NaN, 9.93, NaN, 5.65, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0024, magnetite,      5.20, NaN, 7.38, NaN, 4.19, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0025, limonite,       3.55, NaN, 5.36, NaN, 2.97, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0026, pyrite,         4.93, NaN, 8.10, NaN, 5.18, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0027, pyrrhotite,     4.55, NaN, 4.69, NaN, 2.76, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
0028, sphalerite,     4.08, NaN, 5.38, NaN, 2.81, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0, mavko, K
